NumFloors,YearBuilt,YearAlter1,YearAlter2
12,1920,1984,0
5,1920,0,0
5,1915,0,0
5,1915,0,0
17,1920,1999,0
7,1920,0,0
6,1920,1984,0
24,1990,0,0
6,1915,0,0
6,1915,0,0
18,2007,0,0
5,1915,0,0
5,1920,0,0
5,1920,1996,0
21,2005,0,0
1,1968,0,0
14,1900,0,0
7,1920,0,0
6,1880,1998,2003
17,1924,0,0
5,1910,1988,2006
5,1910,1983,0
6,1920,1980,0
5,1910,2009,0
5,1910,1978,0
5,1910,1998,0
6,1915,0,0
5,1915,1981,0
5,1920,0,0
5,1915,0,0
5,1915,0,0
2,1915,0,0
6,1915,1989,2008
3,1915,2008,2008
4,1915,0,0
3,1915,1989,0
5,1921,0,0
7,1915,1988,2009
5,1915,0,0
2,1915,0,0
2,1915,0,0
4,1915,0,0
9,1915,1987,2001
5,1915,0,0
7,1915,0,0
5,1910,2003,0
5,1915,0,2009
5,1915,1997,2003
5,1915,0,0
6,1915,1983,2008
5,1915,1987,0
6,1915,2001,0
4,1915,2002,0
4,1910,1983,2002
4,1910,0,0
4,1910,0,0
4,1910,1988,0
6,1910,0,0
5,1915,0,0
7,1915,2007,2004
2,1967,0,0
5,1915,1989,0
6,1915,0,0
8,1920,0,0
11,1920,0,0
5,1920,0,0
7,1860,0,0
17,1915,0,0
7,1915,0,0
19,1920,0,0
9,1928,1985,0
5,1915,0,0
5,1915,1984,2004
5,1915,0,0
4,1915,1986,0
5,1915,0,0
4,1915,0,0
3,1915,0,0
2,1915,2003,0
9,2006,0,0
57,2007,0,0
15,1948,2004,1999
5,1915,0,0
5,1915,0,0
5,1915,1994,0
6,1915,2007,2007
4,1915,0,0
8,1882,0,0
5,1915,1990,0
5,1900,0,0
5,1915,1987,0
5,1900,2008,0
5,1915,0,0
5,1915,0,0
7,2005,0,0
3,1915,1989,0
4,1915,0,0
6,1918,0,0
5,1912,0,0
6,1890,1980,0
5,1867,0,0
6,1915,0,0
6,1920,1970,0
6,1915,0,0
7,1915,1982,0
7,1920,1989,0
4,1940,0,0
10,2008,0,0
1,1970,0,0
7,1910,0,0
7,1920,0,0
6,1920,1985,2006
3,1920,0,0
10,1919,0,0
3,1915,0,0
6,1915,0,0
6,1915,0,0
10,1915,1988,0
6,2011,0,0
1,1915,0,0
4,1920,0,0
6,1930,0,0
6.5,1982,0,0
5,1915,0,0
6,1920,0,0
8,1915,0,0
90,1940,0,0
5,1910,1997,0
5,1910,0,0
3,1920,1988,0
3,1940,0,0
5,1915,1986,0
5,1920,0,0
5,1920,0,0
5,1900,1985,2009
4,1920,1992,2006
2,1920,0,0
4,1900,1992,2007
7,1915,0,0
5,1915,0,0
5,1920,0,0
7,1915,0,0
5,1920,0,0
4.5,1920,0,0
6,1920,0,0
7,1915,0,0
6,1910,0,0
6,2000,0,0
6,1920,0,0
8,1900,0,0
6,1920,0,0
6,1915,0,0
5,1915,1985,0
4,1899,0,0
5,1920,1988,0
5,1992,0,0
6,1915,1982,0
6,1915,1992,0
6,1920,0,0
6,1915,2011,0
4,1900,1999,0
4,1915,1986,0
4,1915,0,0
5,1915,0,0
4,1915,0,0
8.5,1915,1986,0
16,1930,0,0
6,1920,0,0
5,1915,0,0
2,1940,0,0
1,1900,0,0
39,1989,0,0
6,1915,1979,0
5,1915,1998,0
6,1901,0,0
6,1921,2006,0
7,2005,0,0
5,1940,0,0
6,1915,2001,0
11,1920,1980,1982
8,1956,0,0
5,1910,0,0
6,1910,1963,0
3,1915,0,0
6,1915,1978,0
4,1920,1984,2006
6,1915,0,0
8,1915,2003,0
6,1910,2003,0
7,1915,0,0
7,1930,1985,2007
7,1915,2009,0
7,1915,0,0
7,1910,1994,0
6,1915,1983,0
6,1915,0,0
6,1921,0,0
7,1910,1980,0
7,1915,0,0
1,1920,0,0
9,1921,1988,0
5,1910,2009,2009
5,1910,2006,2006
3,1920,0,0
6,1915,2007,2007
6,1915,0,0
4,1915,2001,0
10,1915,0,0
10,1921,0,0
7,1950,0,0
6,1920,0,0
6,1915,0,0
7,0,0,0
65,1910,2003,0
6,1915,0,0
7,2004,0,0
6,1915,0,0
3,1915,1988,0
6,1915,1988,0
8,1915,1989,2005
8,1915,0,0
4,1910,1984,1991
3,1960,0,0
6,1909,0,0
6,1893,0,0
8,1915,0,0
14,1905,1979,1998
17,1924,2003,0
9,2000,0,0
6,1910,0,0
11,2008,0,0
9,2013,0,0
8,1999,2009,0
5,1915,1980,0
6,1915,0,0
2,1915,0,0
6,1915,2004,0
2,1960,0,0
4,1920,1988,0
3,1950,1989,1997
2,1920,0,0
6,1977,0,0
26,1913,1986,2001
6,1869,0,0
6,1920,0,0
5,1915,1980,0
5,1915,0,0
5,1921,1981,2006
5,1915,1989,0
5,1910,0,0
5,1915,1974,0
5,1915,0,0
3,1938,1975,0
4,1915,1968,0
4,1915,0,0
5,1910,0,0
5,1910,2006,0
5,1910,0,0
5,1910,0,0
3,1910,0,0
5,1915,2009,2005
5,1985,0,0
5,1910,0,0
5,1915,0,0
5,1915,0,0
5,1910,1960,0
5,1915,1964,0
15,1915,0,0
5,1915,1986,0
5,1915,0,0
5,1915,0,0
6,1875,0,0
6,1920,0,0
5,1915,0,0
7,1888,0,0
9,2005,0,0
5,1900,0,2006
5,1915,1963,2004
5,1915,2003,0
5,1915,2002,0
5,1910,0,0
5,1910,2008,0
5,1915,2000,2002
5,1915,0,0
5,1915,1965,0
2,1954,1989,0
5,1915,1970,0
5,1915,0,0
5,1900,0,0
5,1915,1982,2003
5,1920,1986,2003
5,1915,1987,0
4,1920,1988,0
3,1915,1987,0
7,1915,1983,0
2,1926,0,0
26,1930,1989,0
6,1915,0,0
5,1915,0,0
5,1910,0,0
5,1915,0,0
5,1915,0,0
7,1895,0,0
7,1895,0,0
7,1920,0,0
5,1915,1980,0
6,1915,1988,0
5,1915,1985,0
5,1900,1988,0
5,1920,1996,0
6,1920,0,0
10,1915,0,0
6,1920,1985,0
9,1914,0,0
5,1915,0,0
6,1915,0,0
4,1910,0,0
8,1910,2007,2001
6,1944,1985,0
3,1915,1986,0
5,1915,0,0
13,2012,0,0
6,1915,1988,0
6,1920,0,0
4,1915,1980,0
3,1915,1988,0
3,1915,1980,0
5,1915,2008,2004
7,1920,0,0
7,1915,1985,0
9,1915,2006,0
4,1915,1987,0
4,1915,0,0
6,1915,1989,2000
6,1915,0,0
5,1915,1979,0
5,1900,1985,0
8,1908,1989,0
6,1915,0,0
4,1915,0,0
1,1915,0,0
8,1915,1982,0
5,1912,1989,0
3,1895,1999,0
14,1928,0,0
8,1915,0,0
1,1950,0,0
4,1915,0,0
1,1978,0,0
3,1915,1984,0
8,1920,0,0
9,1911,2007,0
14,1985,0,0
2,1976,0,0
8,1920,1987,0
7,1920,1986,0
13,1991,0,0
5,1890,0,0
5,1910,1989,0
6,1915,1986,0
6,1915,1988,0
2,1915,0,0
7,1880,1985,0
5,1915,1988,0
5,1915,1988,0
7,1915,0,0
5,1920,0,0
5,1920,1990,0
5,1920,1986,0
5,1920,1989,0
5,1920,1987,0
5,1880,0,0
6,1915,0,0
4,1993,0,0
2,1925,0,0
4,1950,1988,0
2,1940,0,0
5,1890,0,0
5,1890,1987,0
7,1915,0,0
4,1902,0,0
6,1920,0,0
5.5,1900,1990,0
5,1915,0,0
6,1915,1988,0
5,1910,0,0
3,1910,0,0
5,1910,1987,0
5,1910,0,0
6,1915,0,0
6,1951,0,0
5,1915,0,0
5,1910,0,0
4,1915,1985,0
5,1915,0,0
6,1905,1980,0
5,1910,0,0
7,1910,1987,0
6,1910,1985,0
6,1910,0,0
5,1915,0,0
5,1910,1988,0
4,1900,1988,0
6,1910,1985,0
6,1915,0,0
9,1991,0,0
6,1910,1986,0
5,1910,0,0
4,1959,0,0
4,1910,0,0
5,1915,0,0
5,1910,0,0
5,1900,0,0
5,1915,1987,0
4,1920,2002,2004
3,1958,0,0
6,1910,0,0
3,1920,0,0
3,1915,0,0
6,1915,1990,0
4,1915,0,0
3,1915,0,0
5,1915,1989,0
5,1890,0,0
5,1910,1988,0
6,1910,1983,0
5,1890,1984,0
6,1915,1979,0
7,1910,1987,0
6,1950,0,0
6,1915,1985,0
4,1910,2002,2002
3,1910,0,0
3,1910,0,0
3,1920,2011,2011
1,1923,1977,2001
20,2014,0,0
3,1960,1992,0
4,1915,2002,0
3.5,1920,2003,0
3.5,1910,0,0
8,1985,0,0
5,1915,1982,0
2,1958,0,0
7,1890,0,0
6,1900,1986,0
5,1900,1982,2009
6,1910,0,0
6,1915,2000,0
6,1920,1958,2000
8,1915,0,0
4,1915,0,0
5,1915,1988,2014
